title,authors,abstract,doi,year,journal,url,source
"Opinion Paper: “So what if ChatGPT wrote it?” Multidisciplinary perspectives on opportunities, challenges and implications of generative conversational AI for research, practice and policy","Yogesh K. Dwivedi, Nir Kshetri, Laurie Hughes, Emma Slade, Anand Jeyaraj, Arpan Kumar Kar, Abdullah M. Baabdullah, Alex Koohang, Vishnupriya Raghavan, Manju Ahuja, Hanaa Albanna, Mousa Ahmad Albashrawi, Adil S. Al-Busaidi, Janarthanan Balakrishnan, Yves Barlette, Sriparna Basu, Indranil Bose, Laurence Brooks, Dimitrios Buhalis, Lemuria Carter, Soumyadeb Chowdhury, Tom Crick, Scott W. Cunningham, Gareth H. Davies, Robert M. Davison, Rahul Dé, Denis Dennehy, Yanqing Duan, Rameshwar Dubey, Rohita Dwivedi, John S. Edwards, Carlos Flavián, Robin Gauld, Varun Grover, Mei‐Chih Hu, Marijn Janssen, Paul Jones, Iris Junglas, Sangeeta Khorana, Sascha Kraus, Kai R. Larsen, Paul Latreille, Sven Laumer, Tegwen Malik, Abbas Mardani, Marcello Mariani, Sunil Mithas, Emmanuel Mogaji, Jeretta Horn Nord, Siobhán O’Connor, Fevzi Okumus, Margherita Pagani, Neeraj Pandey, Savvas Papagiannidis, Ilias O. Pappas, Nishith Pathak, Jan Pries‐Heje, Ramakrishnan Raman, Nripendra P. Rana, Sven‐Volker Rehm, Samuel Ribeiro‐Navarrete, Alexander Richter, Frantz Rowe, Suprateek Sarker, Bernd Carsten Stahl, Manoj Tiwari, Wil van der Aalst, Viswanath Venkatesh, Giampaolo Viglia, Michael Wade, Paul Walton, Jochen Wirtz, Ryan Wright","Transformative artificially intelligent tools, such as ChatGPT, designed to generate sophisticated text indistinguishable from that produced by a human, are applicable across a wide range of contexts. The technology presents opportunities as well as, often ethical and legal, challenges, and has the potential for both positive and negative impacts for organisations, society, and individuals. Offering multi-disciplinary insight into some of these, this article brings together 43 contributions from experts in fields such as computer science, marketing, information systems, education, policy, hospitality and tourism, management, publishing, and nursing. The contributors acknowledge ChatGPT's capabilities to enhance productivity and suggest that it is likely to offer significant gains in the banking, hospitality and tourism, and information technology industries, and enhance business activities, such as management and marketing. Nevertheless, they also consider its limitations, disruptions to practices, threats to privacy and security, and consequences of biases, misuse, and misinformation. However, opinion is split on whether ChatGPT's use should be restricted or legislated. Drawing on these contributions, the article identifies questions requiring further research across three thematic areas: knowledge, transparency, and ethics; digital transformation of organisations and societies; and teaching, learning, and scholarly research. The avenues for further research include: identifying skills, resources, and capabilities needed to handle generative AI; examining biases of generative AI attributable to training datasets and processes; exploring business and societal contexts best suited for generative AI implementation; determining optimal combinations of human and generative AI for various tasks; identifying ways to assess accuracy of text produced by generative AI; and uncovering the ethical and legal issues in using generative AI across different contexts.",10.1016/j.ijinfomgt.2023.102642,2023,International Journal of Information Management,https://openalex.org/W4360620450,OpenAlex
Computing Education in the Era of Generative AI,"Paul Denny, James Prather, Brett A. Becker, James Finnie-Ansley, Arto Hellas, Juho Leinonen, Andrew Luxton-Reilly, Brent N. Reeves, Eddie Antonio Santos, Sami Sarsa",Challenges and opportunities faced by computing educators and students adapting to LLMs capable of generating accurate source code from natural-language problem descriptions.,10.1145/3624720,2024,Communications of the ACM,https://openalex.org/W4390985631,OpenAlex
Drivers of generative AI adoption in higher education through the lens of the Theory of Planned Behaviour,"Stanislav Ivanov, Mohammad Soliman, Aarni Tuomi, Nasser Alhamar Alkathiri, Alamir N. Al-Alawi","Drawing on the Theory of Planned Behaviour (TPB), this study investigates the relationship between the perceived benefits, strengths, weaknesses, and risks of generative AI (GenAI) tools and the fundamental factors of the TPB model (i.e., attitude, subjective norms, and perceived behavioural control). The study also investigates the structural association between the TPB variables and intention to use GenAI tools, and how the latter might affect the actual usage of GenAI tools in higher education. The paper adopts a quantitative approach, relying on an anonymous self-administered online questionnaire to gather primary data from 130 lecturers and 168 students in higher education institutions (HEIs) in several countries, and PLS-SEM for data analysis. The results indicate that although lecturers' and students' perceptions of the risks and weaknesses of GenAI tools differ, the perceived strengths and advantages of GenAI technologies have a significant and positive impact on their attitudes, subjective norms, and perceived behavioural control. The TPB core variables positively and significantly impact lecturers' and students' intentions to use GenAI tools, which in turn significantly and positively impact their adoption of such tools. This paper advances theory by outlining the factors shaping the adoption of GenAI technologies in HEIs. It provides stakeholders with a variety of managerial and policy implications for how to formulate suitable rules and regulations to utilise the advantages of these tools while mitigating the impacts of their disadvantages. Limitations and future research opportunities are also outlined.",10.1016/j.techsoc.2024.102521,2024,Technology in Society,https://openalex.org/W4393149408,OpenAlex
The role of generative AI in education: Perceptions of Saudi students,"Aminah Saad Aldossary, Alia Abdullah Aljindi, Jamilah Mohammed Alamri","&lt;b&gt;Purpose:&lt;/b&gt; This study aims to provide an analysis of students’ perceptions of the role of generative artificial intelligence (GenAI) tools in education, through five axes: (1) level of knowledge and awareness, (2) level of acceptance and readiness, (3) the role of GenAI in education, (4 (level of awareness of potential concerns and challenges, and (5) The impact of GenAI tools on achieving the sustainable development goals in education.&lt;br /&gt; &lt;b&gt;Materials and methods:&lt;/b&gt; The study followed a descriptive quantitative methodology based on surveying through a questionnaire. The sample consisted of 1390 students from 15 Saudi universities.&lt;br /&gt; &lt;b&gt;Results:&lt;/b&gt; The students have positive perceptions towards the role of GenAI tools in education, as students have a high level of awareness and acceptance of adopting these tools. In addition, students are highly aware of the role of GenAI tools in improving their understanding of complex concepts, developing skills, improving their self-efficacy, learning outcomes, providing feedback, and making learning meaningful. The results also confirm their general awareness of the concerns and challenges. A relationship exists between students’ perceptions of GenAI and their scientific specializations, as students in computer sciences showed greater awareness regarding concerns and challenges, whereas students in agricultural sciences showed greater awareness of the impact of GenAI tools on achieving sustainable development goals.&lt;br /&gt; &lt;b&gt;Conclusions:&lt;/b&gt; The study offers valuable insights on GenAI adoption in higher education, also there is an urgent need to consider developing appropriate use policies, spreading awareness, and creating systems capable of detecting unethical cases.",10.30935/cedtech/15496,2024,Contemporary Educational Technology,https://openalex.org/W4403647662,OpenAlex
"Exploring the Potential Impact of Artificial Intelligence (AI) on International Students in Higher Education: Generative AI, Chatbots, Analytics, and International Student Success","Ting Wang, Brady Lund, Agostino Marengo, Alessandro Pagano, Nishith Reddy Mannuru, Zoë Abbie Teel, Jenny Pange","International students face unique challenges in pursuing higher education in a foreign country. To address these challenges and enhance their academic experience, higher education institutions are increasingly exploring the use of artificial intelligence (AI) applications. This research essay aims to investigate the impact of AI on the education of international students. Instead of a traditional literature review, it employs a research approach to examine the potential applications of AI and discuss associated concerns. The research paper explores various AI applications, such as personalized learning experiences, adaptive testing, predictive analytics, and chatbots for learning and research. By analyzing the role of AI in education for international students, this research paper sheds light on how AI can improve learning efficiency and provide customized educational support. Additionally, it identifies significant risks and limitations, including privacy concerns, cultural differences, language proficiency, and ethical implications, which must be effectively addressed. The findings contribute to a better understanding of the potential impact of AI on international students’ educational experiences and offer insights into the integration of AI into educational administration and learning processes.",10.3390/app13116716,2023,Applied Sciences,https://openalex.org/W4379057711,OpenAlex
Exploring public perceptions of generative AI and education: topic modelling of YouTube comments in Korea,"Hyo‐Jeong So, Hyeji Jang, Minseon Kim, Jieun Choi","This study aims to investigate the public's perceptions regarding the integration of Generative AI (GenAI) in education by analysing comments on YouTube news clips. The study collected public comments from YouTube news clips disseminated by three prominent broadcasters in South Korea between December 2022 and June 2023. Two dimensions of public perceptions were examined: sentiments and prevalent topics. Employing machine learning techniques, we conducted sentiment analysis and topic modelling on the crowdsourced dataset of 18,566 comments from 66 YouTube news clips. The first research question focused on public sentiments towards GenAI and education. Findings reveal a predominance of neutral sentiments. Rather than adopting extreme positions of complete acceptance or rejection, the public displayed an inclination to appreciate the intricate nuances of GenAI's implications. The second research question sought to identify the main topics emerging from public comments on GenAI and education. We identified 11 distinct topics where two topics are directly linked to educational implications: demands for changes in learning and assessment methods, and the use of GenAI in higher education. Based on the key findings, we draw implications that can inform a broader understanding of public sentiment and perspective towards GenAI and education.",10.1080/02188791.2023.2294699,2023,Asia Pacific Journal of Education,https://openalex.org/W4389856535,OpenAlex
Challenges and Limitations of Generative AI in Education,Seyfullah Gökoğlu,"This chapter presents a comprehensive literature review to identify the challenges and limitations of using generative artificial intelligence (GAI) in education. As a result of screening seven major citation databases, 476 studies were reached. Analysis was carried out on 25 studies selected according to the inclusion and exclusion criteria. Results showed that research on using GAI in education is mostly conducted at the higher education level. The number of studies focusing on lower levels of education is quite low. The challenges and limitations of artificial intelligence are more about general education rather than focusing on a specific discipline. ChatGPT was the most investigated GAI tool. The challenges and limitations of using GAI in education are grouped under five factors: ethics and safety; educational implementations; assessment and evaluation; equity and access; quality control and expertise.",10.4018/979-8-3693-1351-0.ch008,2024,Advances in educational technologies and instructional design book series,https://openalex.org/W4391603742,OpenAlex
Generative AI in Education: Perspectives Through an Academic Lens,"Iulian Întorsureanu, Simona‐Vasilica Oprea, Adela Bârã, Dragoș Vespan","In this paper, we investigated the role of generative AI in education in academic publications extracted from Web of Science (3506 records; 2019–2024). The proposed methodology included three main streams: (1) Monthly analysis trends; top-ranking research areas, keywords and universities; frequency of keywords over time; a keyword co-occurrence map; collaboration networks; and a Sankey diagram illustrating the relationship between AI-related terms, publication years and research areas; (2) Sentiment analysis using a custom list of words, VADER and TextBlob; (3) Topic modeling using Latent Dirichlet Allocation (LDA). Terms such as “artificial intelligence” and “generative artificial intelligence” were predominant, but they diverged and evolved over time. By 2024, AI applications had branched into specialized fields, including education and educational research, computer science, engineering, psychology, medical informatics, healthcare sciences, general medicine and surgery. The sentiment analysis reveals a growing optimism in academic publications regarding generative AI in education, with a steady increase in positive sentiment from 2023 to 2024, while maintaining a predominantly neutral tone. Five main topics were derived from AI applications in education, based on an analysis of the most relevant terms extracted by LDA: (1) Gen-AI’s impact in education and research; (2) ChatGPT as a tool for university students and teachers; (3) Large language models (LLMs) and prompting in computing education; (4) Applications of ChatGPT in patient education; (5) ChatGPT’s performance in medical examinations. The research identified several emerging topics: discipline-specific application of LLMs, multimodal gen-AI, personalized learning, AI as a peer or tutor and cross-cultural and multilingual tools aimed at developing culturally relevant educational content and supporting the teaching of lesser-known languages. Further, gamification with generative AI involves designing interactive storytelling and adaptive educational games to enhance engagement and hybrid human–AI classrooms explore co-teaching dynamics, teacher–student relationships and the impact on classroom authority.",10.3390/electronics14051053,2025,Electronics,https://openalex.org/W4408186594,OpenAlex
"Towards social generative AI for education: theory, practices and ethics",Mike Sharples,"This paper explores educational interactions involving humans and artificial intelligences not as sequences of prompts and responses, but as a social process of conversation and exploration. In this conception, learners continually converse with AI language models within a dynamic computational medium of internet tools and resources. Learning happens when this distributed system sets goals, builds meaning from data, consolidates understanding, reconciles differences, and transfers knowledge to new domains. Building social generative AI for education will require development of powerful AI systems that can converse with each other as well as humans, construct external representations such as knowledge maps, access and contribute to internet resources, and act as teachers, learners, guides and mentors. This raises fundamental problems of ethics. Such systems should be aware of their limitations, their responsibility to learners and the integrity of the internet, and their respect for human teachers and experts. We need to consider how to design and constrain social generative AI for education.",10.48550/arxiv.2306.10063,2023,arXiv (Cornell University),https://openalex.org/W4381587400,OpenAlex
Generative AI and education: dynamic personalization of pupils’ school learning material with ChatGPT,"Jussi S. Jauhiainen, Agustín Garagorry Guerra","The widespread use of generative AI tools like ChatGPT has seen significant growth. This rise prompted discussions on integrating these technologies into school education. However, the practical implementation, testing, and assessment of generative AI in primary and secondary education remained largely unexplored. This article examines the application of ChatGPT-3.5 and 4 in primary school education. A study involving 110 students aged 8–14 across grades 4–6 in two Uruguayan schools was conducted. The focus was on using generative AI for dynamic personalization of educational content during classroom lessons. In these sessions, instructional content followed the curriculum goals, and text, illustrations, and exercises were generated and dynamically adjusted based on generative AI. The findings indicate that generative AI effectively tailors school materials to match varying pupil knowledge levels. Real-time adjustments during lessons cater to individual learning needs, enhancing cognitive ergonomics. This approach not only boosts pupil motivation but also improves their performance, facilitating more effective achievement of the curriculum’s learning objectives. These results suggest a promising avenue for leveraging generative AI to personalize and optimize primary school education.",10.3389/feduc.2024.1288723,2024,Frontiers in Education,https://openalex.org/W4404509460,OpenAlex
Editorial: Generative AI in education,"Diego Zapata‐Rivera, Ilaria Torre, Chien‐Sing Lee, Antonio Sarasa Cabezuelo, Ioana Ghergulescu, Paul Libbrecht","In the field of education, there is a growing interest in the use of Generative Artificial Intelligence (Generative AI) to reshape the educational landscape. This Research Topic investigates the transformative potential of Generative AI in various aspects of education. The papers in this edited volume shed light on the latest discoveries, new insights, novel developments, and future challenges in this rapidly advancing field.By leveraging machine learning models, these intelligent systems extract useful insights from vast amounts of data, making them capable of delivering highly individualized content. They can analyze a learner's proficiency level, learning style, and pace, and then tailor the study material accordingly. Generative AI can adapt its content generation strategies to meet distinct preferences and learners' needs. This can increase student engagement and comprehension, highlighting its potential to transform traditional teaching methodologies.This Research Topic also explores the use of Generative AI as part of AI tutors, capable of tailoring instructions and feedback dynamically based on each learner's progress. Acting as an ever-present mentor, Generative AI can offer learning aids beyond class hours, facilitating continuous learning and immediate doubt clarification. This can be crucial for learners encountering obstacles outside the typical school hours or during self-study periods. Anyway, to use Generative AI as a tutor, further research is needed to examine not only the accuracy of its answers but also their emotional content, as emotions play a crucial role in the learning process.This Research Topic includes 11 papers (Original Research: 6; Perspective: 2; Opinion: 2, and Mini-Review:1). These papers explore areas such as: (a) using Large Language Models (LLMs) to generate feedback, (b) the use and perceived usefulness of a Generative AI chatbot for schoolwork among adolescents, (c) the potential of Generative AI in supporting critical thinking and enhancing human interactions, (d) using ChatGPT to support pre-service mathematics teachers in constructing mathematical proofs, (e) opportunities and challenges of LLMs to model the ""whole learner,"" (h) exploring Generative AI for personalized educational assessment, (g) the use of AI-mentors in career exploration, (i) the responsible integration of AI in education, (j) the use of LLMs to automatically generate interactive listening tasks, (k) the potential of AI-enhanced robots to generate incorrect information and deceive students, and (l) a mini-review on Generative AI for supporting students' cognitive and emotional needs. The main contributions of these articles are described below.Comparing emotions in ChatGPT answers and human answers to the coding questions on Stack Overflow by Fatahi, Vassileva, and Roy (2024). This paper presents a study aimed to compare the emotional content in human and AI answers. Specifically, it examines the emotional aspects in answers from ChatGPT and humans to 2000 questions sourced from Stack Overflow, finding that ChatGPT's answers tend to be more positive, while human responses often express anger and disgust. Additionally, human emotions exhibit a broader spectrum than ChatGPT. The authors suggest that ChatGPT shows promise as a virtual tutor for students by answering queries and fostering collaboration. However, further research is needed on the emotional aspects of responses.Adolescents' use and perceived usefulness of generative AI for schoolwork: exploring their relationships with executive functioning and academic achievement by Klarin et al. (2024). The article explores adolescents' frequency of use and perceived usefulness of generative AI chatbots for schoolwork, focusing on their relationship with executive functioning (EF) and academic achievement. Two studies were conducted with adolescents. Findings indicate that older students use Generative AI tools as more frequently. Also, students facing more EF challenges perceive Generative AI tools as more useful for completing assignments. However, no significant link was found between the use of Generative AI and academic achievement. Future work involves exploring additional Generative AI issues such as potential gender differences, implications for academic equity and the impact on adolescent cognitive development.Using Generative AI in education: the case for critical thinking by Lee and Low (2024). This opinion article makes the case for focusing the use of Generative AI in enhancing students' critical thinking and human interactions. The authors describe two case studies: (a) teaching communication skills and (b) teaching data structures and algorithms with AI chatbots. The two cases illustrate the potential use of Generative AI to enhance teaching and learning. The authors discuss the benefits of AI-based personalized feedback in improving student engagement and fostering strategic and critical use of AI tools. The article encourages the ethical and responsible use of generative AI in education with potential implications for the workforce.Using large language models to support pre-service teachers' mathematical reasoning—an exploratory study on ChatGPT as an instrument for creating mathematical proofs in geometry by Herrmann and Dilling (2024). LLMs can be a great source to extract knowledge. It thus appears natural to expect them to generate the texts of classical mathematical proofs. The authors, Marc Herrmann and Frederik Dilling, explore how pre-service teachers employ them to produce proofs. Using the lens of instrumental genesis, their study shows a variety of usage patterns with limited knowledge about the inner workings of the models. It sketches the road to become a teacher support instrument.Large language models for whole-learner support: opportunities and challenges by Mannekote et al. (2024) examines the transformative potential of LLMs in education through the development of personalized learning environments that address both cognitive and non-cognitive dimensions of learners, including motivation and socioemotional needs. The authors underscore the necessity of enhancing the interpretability of LLMs to ensure accurate learner representations, leveraging adaptive technologies for customized pedagogical support, and refining methods for authoring and evaluating educational agents. However, the article also highlights significant challenges, such as model interpretability, ethical considerations, and privacy concerns, which must be resolved.Opportunities and challenges of using generative AI to personalize educational assessment by Arslan et al. (2024). The article explores the challenges and opportunities of integrating Generative AI in supporting personalized educational assessments. The authors describe potential benefits of Generative AI personalized assessments, such as increasing learner engagement, motivation, performance, and access. Challenges include ensuring validity, reliability, and fairness. Finally, potential solutions include implementing guidelines for the ethical use of AI, aligning the purpose of the assessment with the intended use of Generative AI, and deploying human-in-the-loop approaches.Navigating STEM careers with AI mentors: a new IDP journey by Chang et al. (2024). The MyIDP, a Web-based STEM career development-mentoring platform, is the synergistic outcome of experts from diverse associations and universities (Hobin, Fuhrmann, Lindstaedt, & Clifford, 2012). Concerned with time and resource capacities, Chang et al. (2024) investigate the efficacy of a comprehensive list of prompts, when students engage with human-Google Gemini mentors. Progress/achievements in the Assessment, Career Exploration, Create Plan and Implement Plan phases, are measured by SMART goals. Findings reveal the emergence of the sequential integration and concurrent collaboration interaction models, and the importance of human mentors in refining and personalizing Gemini's more generic answers. Shaping integrity: why generative artificial intelligence does not have to undermine education by Toledo Tan and Tan Maravilla (2024) examines the role of Generative AI in promoting academic integrity. The authors argue that Generative AI can enhance learning by fostering intrinsic motivation, digital literacy, and knowledge construction. Moreover, its responsible integration can support personalized and interactive learning while upholding ethical standards. However, the paper also emphasizes the need for ethical guidelines, transparency, and thoughtful implementation to address challenges such as data privacy and algorithmic bias. Ultimately, the paper concludes that Generative AI is a tool to enrich education, preparing students for the complexities of a technologically advanced world with integrity and ethical awareness.A generative AI-driven interactive listening assessment task by Runge et al. (2024). This article discusses the development and evaluation of an interactive listening assessment task in the context of a large-scale assessment. LLMs are used to enhance automated item generation. A pilot study with 713 tasks demonstrated the feasibility of this approach, showing that AI-driven item generation can produce high-quality, diverse assessment content. The study highlights the potential of Generative AI and human-in-the loop to improve language testing by interactive assessment tasks.Deception Detection in Educational AI: Challenges for Japanese Middle School Students in Interacting with Generative AI Robots by Salem and Sumi (2024). The authors investigate whether twenty-two Japanese middle school students can detect different types of lies (lying, paltering, pandering, and bullshitting) via an anime face in contrast to a human-like face. Analyses from ten teaching sessions indicate that there are no significant differences in learning effectiveness, and in motivation and encouragement. However, most of the students are deceived. When comparing deception techniques, the bullshit technique evidenced significant differences. There is also a significant difference with regards to total belief. Exploring the Utilization and Deficiencies of Generative Artificial Intelligence in Students' Cognitive and Emotional Needs: A Systematic Mini-Review by mini-review Ortega-Ochoa et al. (2024) examines how Generative AI tools, like ChatGPT, address students' cognitive and emotional needs in educational contexts. The paper reviews four empirical works and notes challenges in scalability and generalizability, emphasizing the need for improved accuracy, personalization, and ethical integration of Generative AI to support meaningful and adaptive learning experiences. Furthermore, the paper highlights Generative AI's effectiveness in fostering engagement, emotional regulation, and instant feedback. However, it also identifies limitations, such as the inability to foster critical thinking, inconsistent response accuracy, and insufficient personalization to individual emotional and cognitive states.As a whole, this Research Topic provides interesting insights regarding the use of Generative AI in education. The papers collectively explore the multifaceted roles of generative AI in education, examining its impact on emotional engagement, academic achievement, critical thinking, personalized assessment, STEM career guidance, and ethical considerations, while also addressing the challenges and opportunities it presents in shaping the future of learning and assessment. Our contribution represents an early step towards a scientific approach away from the trendy statements. The volume identifies the potential benefits and opportunities for additional work in this area. We hope you find these articles informative and help inspire new work in this active area of research. Finally, we would like to acknowledge the reviewers who participated in this Research Topic as well as Professor Rita Orji (Dalhousie University, Halifax, Canada), who served as the editor for one of the submitted manuscripts.",10.3389/frai.2024.1532896,2024,Frontiers in Artificial Intelligence,https://openalex.org/W4405207655,OpenAlex
"Generative AI in Education: A Study of Educators' Awareness, Sentiments,
  and Influencing Factors","Aashish Ghimire, James Prather, John Edwards","The rapid advancement of artificial intelligence (AI) and the expanding integration of large language models (LLMs) have ignited a debate about their application in education. This study delves into university instructors' experiences and attitudes toward AI language models, filling a gap in the literature by analyzing educators' perspectives on AI's role in the classroom and its potential impacts on teaching and learning. The objective of this research is to investigate the level of awareness, overall sentiment towardsadoption, and the factors influencing these attitudes for LLMs and generative AI-based tools in higher education. Data was collected through a survey using a Likert scale, which was complemented by follow-up interviews to gain a more nuanced understanding of the instructors' viewpoints. The collected data was processed using statistical and thematic analysis techniques. Our findings reveal that educators are increasingly aware of and generally positive towards these tools. We find no correlation between teaching style and attitude toward generative AI. Finally, while CS educators show far more confidence in their technical understanding of generative AI tools and more positivity towards them than educators in other fields, they show no more confidence in their ability to detect AI-generated work.",10.48550/arxiv.2403.15586,2024,arXiv (Cornell University),https://openalex.org/W4393212576,OpenAlex
"Generative AI for Education (GAIED): Advances, Opportunities, and
  Challenges","Paul Denny, Sumit Gulwani, Neil T. Heffernan, Tanja Käser, Steven Moore, Anna N. Rafferty, Adish Singla","This survey article has grown out of the GAIED (pronounced ""guide"") workshop organized by the authors at the NeurIPS 2023 conference. We organized the GAIED workshop as part of a community-building effort to bring together researchers, educators, and practitioners to explore the potential of generative AI for enhancing education. This article aims to provide an overview of the workshop activities and highlight several future research directions in the area of GAIED.",10.48550/arxiv.2402.01580,2024,arXiv (Cornell University),https://openalex.org/W4391556690,OpenAlex
Advancing the generative AI in education research agenda: Insights from the Asia-Pacific region,"Lung Hsiang Wong, Chee‐Kit Looi",,10.1080/02188791.2024.2315704,2024,Asia Pacific Journal of Education,https://openalex.org/W4392032762,OpenAlex
Emerging governance of generative AI in education,OECD,"This chapter gives an overview of 18 countries' governance of generative AI in education. Taking stock of the recent developments and massive uptake of generative AI tools across sectors, it examines countries and jurisdictions' nascent attempts at governing, encouraging, or restricting their use in education. It further compares current and upcoming regulatory framework and guidance with the uses that teachers and students make of generative AI tools in practice. Analysing countries and jurisdictions' policy priorities on the topic, it concludes by providing policy makers with a set of recommendations to consider moving towards adaptive and effective integration of generative AI tools in education.",10.1787/2a73a245-en,2023,Digital education outlook,https://openalex.org/W4400710765,OpenAlex
